ID,LUCID_zip,Wpoor,Bpoor,Wwealthy,Bwealthy,city_B,city_W,poverty_city_Other,US_B,US_W,poverty_US_Other,statusBlack,statusWhite,welfsupp1,welfsupp2,welfsupp3,recip1,recip2,recip3,recip4,recip5,SuppRep1,SuppRep2,SuppRep3,Vote_Biden,Vote_Sanders,Vote_Trump,vote_final,black_contact1,black_contact2,black_contact3,black_quality1,black_quality2,black_quality3,black_quality4,white_contact1,white_contact2,white_contact3,white_quality1,white_quality2,white_quality3,white_quality4,ThermBlack,ThermWhite,ThermHisp,ThermAsian,ThermNatAm,IMS1,IMS2,IMS3,IMS4,IMS5,soc_iss,econ_iss,pol_aff,age,gender,gender_TEXT,receivewelf1,income,edu,LadderSelf,race_White,race_Black,race_NatAm,race_Asian,race_Multiracial,race_Multiracial_TEXT,race_Other,race_Other_TEXT,ethn_NotHispLat,ethn_HispLat,White_ident,Black_ident,State,zip,CALC_VAR_BELOW,WelfSupport,Democrat,PsWhite,recip1R,recip2R,recip3R,HardworkingWelf
46,75215,3,2,3,5,40.00,40.00,20.00,40.00,40.00,20.00,90.00,50.00,6,6,6,1,1,1,5,6,1,1,6,5.00,7.00,10.00,1,1,5,1,1,5,4,5,1,1,1,1,4,3,3,99.00,100.00,99.00,99.00,99.00,7,1,7,7,7,4,5,2,45,2,,0,1,2,6,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,45,75215,#NULL!,6.00,0.00,0.00,6.00,6.00,6.00,5.80
47,02134,4,5,5,4,60.00,20.00,20.00,50.00,25.00,25.00,49.00,51.00,6,4,6,5,2,6,6,5,1,5,6,51.00,63.00,3.00,2,4,5,2,3,3,3,3,3,3,3,3,3,3,3,100.00,100.00,100.00,99.00,100.00,7,1,7,7,7,6,5,2,30,1,,0,11,5,7,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,22,02134,#NULL!,5.33,0.00,0.00,2.00,5.00,1.00,3.80
48,32693,3,3,3,3,40.00,40.00,20.00,50.00,40.00,10.00,50.00,41.00,1,3,3,5,6,6,4,1,6,6,2,0.00,0.00,100.00,3,3,2,2,1,5,1,1,4,4,4,3,5,1,1,49.00,50.00,50.00,50.00,50.00,7,1,7,7,7,4,4,1,18,2,,0,9,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,1,#NULL!,10,32693,#NULL!,2.33,0.00,1.00,2.00,1.00,1.00,1.80
50,21230,2,2,2,2,35.00,25.00,40.00,40.00,30.00,30.00,63.00,88.00,4,5,5,4,3,4,3,4,5,3,4,69.00,32.00,8.00,1,3,3,3,4,4,4,4,3,3,3,3,3,3,3,79.00,56.00,63.00,56.00,44.00,6,2,6,6,6,3,2,3,52,1,,0,8,2,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,3,21,",21230",#NULL!,4.67,1.00,0.00,3.00,4.00,3.00,3.40
51,27316,3,1,3,3,50.00,25.00,25.00,100.00,0.00,0.00,64.00,50.00,2,2,2,3,1,4,2,2,4,5,6,9.00,91.00,100.00,3,2,2,2,2,3,1,4,2,3,3,3,3,2,5,70.00,20.00,100.00,11.00,36.00,1,1,5,3,2,4,4,1,40,1,,0,13,1,3,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,34,27316,#NULL!,2.00,0.00,1.00,4.00,6.00,3.00,3.40
52,45403,4,2,2,2,20.00,40.00,40.00,40.00,40.00,20.00,50.00,50.00,1,2,5,5,3,1,3,4,6,6,2,68.00,37.00,7.00,1,1,1,3,5,5,3,5,1,3,3,3,5,3,5,50.00,50.00,50.00,50.00,50.00,4,1,4,6,4,4,4,2,41,1,,0,10,2,4,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,1,#NULL!,36,43449,#NULL!,2.67,0.00,1.00,2.00,4.00,6.00,3.80
53,10032,1,4,3,2,40.00,20.00,40.00,50.00,20.00,30.00,73.00,51.00,3,4,4,5,6,4,3,3,6,6,1,100.00,9.00,3.00,1,4,3,4,5,4,3,3,3,1,3,5,5,4,4,51.00,51.00,50.00,52.00,51.00,6,1,1,7,6,6,6,3,58,1,,0,14,2,5,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,3,33,10032,#NULL!,3.67,1.00,0.00,2.00,1.00,3.00,2.40
54,60611,2,2,3,3,30.00,35.00,35.00,35.00,25.00,40.00,78.00,31.00,6,6,5,1,3,3,4,4,2,1,5,89.00,65.00,2.00,1,5,2,4,5,5,5,5,2,4,1,4,4,4,4,97.00,77.00,84.00,76.00,88.00,5,2,5,7,6,1,1,3,58,1,,0,9,2,7,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,14,60611,#NULL!,5.67,1.00,0.00,6.00,4.00,4.00,4.40
55,32202,3,1,2,3,60.00,40.00,0.00,70.00,30.00,0.00,100.00,17.00,6,5,1,3,3,1,1,4,5,4,6,2.00,3.00,2.00,1,5,5,5,5,5,5,5,3,2,1,1,3,1,1,100.00,3.00,36.00,42.00,13.00,4,4,4,4,4,2,2,2,48,1,,0,4,2,4,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,10,32202,#NULL!,4.00,0.00,0.00,4.00,4.00,6.00,3.80
56,76543,3,4,4,3,40.00,30.00,30.00,45.00,35.00,20.00,82.00,70.00,4,5,5,2,2,2,3,4,6,6,1,71.00,27.00,1.00,1,1,4,4,5,4,3,5,1,5,5,5,3,3,5,80.00,81.00,71.00,70.00,77.00,7,2,6,6,6,4,3,3,80,1,,0,14,5,6,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,2,#NULL!,45,76543,#NULL!,4.67,1.00,1.00,5.00,5.00,5.00,4.40
